"","input","filtered","nonchim","filter.loss"
"AFI1774_filt.fastq.gz",38240,34455,34116,0.0989801255230126
"AFI1775_filt.fastq.gz",41391,35935,35781,0.131816095286415
"AFI1776_filt.fastq.gz",39797,36337,36334,0.0869412267256326
"AFI1777_filt.fastq.gz",7,2,2,0.714285714285714
"AFI1778_filt.fastq.gz",16,1,1,0.9375
"AFI1779_filt.fastq.gz",12,1,1,0.916666666666667
"AFI1780_filt.fastq.gz",14,1,1,0.928571428571429
"AFI1782_filt.fastq.gz",2,1,1,0.5
"AFI1783_filt.fastq.gz",7,1,1,0.857142857142857
"AFI1784_filt.fastq.gz",3580,2420,2420,0.324022346368715
"AFI1785_filt.fastq.gz",3723,2590,2590,0.304324469513833
"AFI1786_filt.fastq.gz",2266,1503,993,0.336716681376876
"AFI1787_filt.fastq.gz",2775,1885,1636,0.320720720720721
"AFI1788_filt.fastq.gz",3329,2326,2326,0.301291679182938
"AFI1789_filt.fastq.gz",1277,886,886,0.3061863743148
"AFI1790_filt.fastq.gz",5064,3456,3456,0.317535545023697
"AFI1791_filt.fastq.gz",5588,3854,3854,0.310307802433787
